Start Time,End Time,Text
0.0,6.96, A story about someone named Reality Winner has to start with the name.
6.96,13.56," Her father, playing on the family name, explained he wanted a real winner, and so reality."
13.56,20.18," Maybe that still doesn't make sense, but it is the least baffling fact in this story."
20.18,26.44, Reality Winner became an infamous name in 2017 when she was accused of espionage.
26.44,31.36, She was hit with the longest sentence ever imposed on a civilian for leaking classified
31.36,33.6, information to the media.
33.6,37.04," Now released, she spoke with us."
37.04,43.980000000000004," Did Reality Winner do exceptionally grave damage, as the prosecutor said, or did she reveal"
43.980000000000004,47.72, a truth that defended America?
47.72,53.760000000000005," It's complicated, like the young woman with the unforgettable name."
53.76,59.16, The story will continue in a moment.
59.16,61.839999999999996, I am not a traitor.
61.839999999999996,65.92, I am not a spy.
65.92,73.56, I am somebody who only acted out of love for what this country stands for.
73.56,74.84, Nobody ever really appreciated it.
74.84,81.96, We met 30-year-old reality winner at home in Texas after four years behind bars.
81.96,88.28, Espionage seems surprising for a woman who joined the Air Force at 19 and won the Air Force
88.28,95.83999999999999," Commandation Medal in 2016 for, quote, 600 enemies killed in action."
95.83999999999999,101.96, She did that as a linguist in a combat unit fighting secret missions.
101.96,103.96, How many languages do you speak?
103.96,106.39999999999999," Farsi, Dari, and Pashdo."
106.39999999999999,110.75999999999999, These are the languages of Afghanistan and Iran.
110.76,112.28, Yes.
112.28,118.72," But her duty station was 7,000 miles away from those countries at Fort Mead, Maryland."
118.72,120.36, Why are you at Fort Mead?
120.36,121.36, Not.
121.36,123.56, Am I allowed to say that?
123.56,124.56, Nope.
124.56,125.56, Nope.
125.56,130.64000000000001, That's the voice of her lawyer who helped her steer clear of secrets in our interview.
130.64000000000001,137.04000000000002," Winner wouldn't say it, but at Fort Mead, linguists, eavesdropped on communications in"
137.04,141.64, Afghanistan to identify targets for armed drones.
141.64,144.79999999999998, It is not something I am allowed to discuss.
144.79999999999998,148.68," She didn't discuss her mission with her mother, Billy Winner Davis."
148.68,156.23999999999998," Only one conversation that I had with her, did she ever let on how heavy her work was."
156.23999999999998,162.51999999999998," I'll never forget, because she said, you know, when you're watching somebody on your screen"
162.52,169.08," and that person goes, poof, you've got to make sure that you've got everything right."
169.08,177.08, I was starting to see in the news that our mission had a very high civilian casualty rating.
177.08,184.20000000000002," She began to feel guilt while battling illness, depression, and the eating disorder, bulimia."
184.20000000000002,191.04000000000002, She left the Air Force for a top secret civilian job at the National Security Agency at Fort
191.04,194.44," Gordon in Augusta, Georgia."
194.44,201.2," But here in 2017, she says what she was hearing in English worried her far more than intercepts"
201.2,203.28, in Farsi and Pashto.
203.28,209.44," If you don't catch a hacker, okay, in the act, it's very hard to say who did the hacket."
209.44,214.56, The president was raising doubt that Russia attacked the 2016 election.
214.56,217.88, His interview with John Dickerson was typical of the time.
217.96,219.35999999999999, I'll go along with Russia.
219.35999999999999,220.12, Could have been China.
220.12,222.0, Could have been a lot of different groups.
222.0,225.32, But it was Russia and the NSA knew it.
225.32,231.56, Reality winner had seen proof in a top secret report on an in-house news feed.
231.56,239.35999999999999," I just kept thinking, my God, somebody needs to step forward and put this right."
239.35999999999999,240.72, Somebody.
240.72,250.2, The secret report said in 2016 the Russian military executed cyber espionage against 122 local
250.2,256.64, government organizations targeting officials involved in the management of voter registration
256.64,258.04, systems.
258.04,263.72, It was top secret in part because it revealed what the US knew about Russian tactics.
263.72,268.44, Winner told us she was exposing a white house cover-up.
